,Source,Source duplicate client#,Client #,SQL_ClientIdSubId,Client Group,SQL_Client Group,Client Name,SQL_Client Name,Address,SQL_Address,City,SQL_City,State,SQL_State,ZipCode,SQL_ZipCode,Year End,SQL_Year End,Eng Ltr Fees if Inlcluded,SQL_Eng Ltr Fees if Inlcluded,Tax Eng Ltr Type,SQL_Tax Eng Ltr Type,States/Localities,SQL_States/Localities,Changes in States/Localities,SQL_Changes in States/Localities,AA Eng Ltr Type,SQL_AA Eng Ltr Type,AA Financial Framework (FF),SQL_AA Financial Framework (FF),AA Departure from FF?,SQL_AA Departure from FF?,AA Not Independent?,SQL_AA Not Independent?,Eng Ltr Contact,SQL_Eng Ltr Contact,Eng Ltr Contact Email,SQL_Eng Ltr Contact Email,OS Client,SQL_OS Client,CAL Contact,SQL_CAL Contact,CAL Contact Email,SQL_CAL Contact Email,CAL Contact 2,SQL_CAL Contact 2,CAL Contact Email 2,SQL_CAL Contact Email 2,Depreciation Schedule Sent w/ CAL?,SQL_Depreciation Schedule Sent w/ CAL?,"Other Comments, Changes, etc.","SQL_Other Comments, Changes, etc.",Primary,SQL_Primary,Status Client Group,Status Client Name,Status Address,Status City,Status State,Status ZipCode,Status Year End,Status Eng Ltr Fees if Inlcluded,Status Tax Eng Ltr Type,Status States/Localities,Status Changes in States/Localities,Status AA Eng Ltr Type,Status AA Financial Framework (FF),Status AA Departure from FF?,Status AA Not Independent?,Status Eng Ltr Contact,Status Eng Ltr Contact Email,Status OS Client,Status CAL Contact,Status CAL Contact Email,Status CAL Contact 2,Status CAL Contact Email 2,Status Depreciation Schedule Sent w/ CAL?,"Status Other Comments, Changes, etc.",Status Primary
0,Bender Lacy.xlsm,,9565,9565.TAX,A&A CUSTOM,A&A CUSTOM,A&A Custom Automation,A & A CUSTOM AUTOMATION INC,2125 Bergdolt Road,2125 BERGDOLT RD,Evansville,EVANSVILLE,Indiana,IN,47711,47711-2845,12,12,,,1120S,1120S,"Indiana, Illinois, Kentucky, and North Carolina","Indiana, Illinois, Kentucky, and North Carolina",,,,None,,,,,,F,Kristie Chinn,Kristie Chinn,kchinn@aacustomautomation.com,kchinn@aacustomautomation.com,,F,Kristie Chinn,Kristie Chinn,kchinn@aacustomautomation.com,kchinn@aacustomautomation.com,,,,,,,,,"Bender, Lacy","Snepp, Jim",,Client Name,Address,,State,ZipCode,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,Primary
1,Bender Lacy.xlsm,,8684,8684.TAX,ADV COMPRESSOR,ADV COMPRESSOR,"Advanced Compressor Technologies, LLC",ADVANCED COMPRESSOR TECHNOLOGIES LLC,2315 B Glenview Drive,2315 B GLENVIEW DR,Evansville,EVANSVILLE,Indiana,IN,47720,47720,12,12,,,1120S,1120S,"Indiana, Illinois, Kentucky, and various Kentucky local returns","Indiana, Illinois, Kentucky, and various Kentucky local returns",,,,None,,,,,,,Mackenzie Riley,Mackenzie Riley,mnrileyact@gmail.com,mnrileyact@gmail.com,,,Mackenzie Riley,Mackenzie Riley,mnrileyact@gmail.com,mnrileyact@gmail.com,,,,,,,,,"Bender, Lacy","Snepp, Jim",,,Address,,State,,,,,,,AA Eng Ltr Type,,,,,,,,,,,,,Primary
2,Bender Lacy.xlsm,,10010,10010.TAX,ALTSTADT,ALTSTADT,"Althoff Properties, LLC",ALTHOFF PROPERTIES LLC,1401 Buchanan Road,1401 BUCHANAN ROAD,Evansville,EVANSVILLE,Indiana,IN,47720,47720,12,12,,,1065,1065,Indiana,Indiana,,,,<No selection>,,<No selection>,,,,F,Chip Altstadt,Chip Altstadt,chip@altstadtplumbing.com,chip@altstadtplumbing.com,,F,Chip Altstadt,Chip Altstadt,chip@altstadtplumbing.com,chip@altstadtplumbing.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,AA Financial Framework (FF),,AA Not Independent?,,,OS Client,,,,,,,
3,Bender Lacy.xlsm,,9643,9643.TAX,AZZIP PIZZA,AZZIP PIZZA,"Fresh Focus, LLC",FRESH FOCUS LLC,810 West Franklin Street,810 WEST FRANKLIN STREET,Evansville,EVANSVILLE,Indiana,IN,47710,47710,12,12,,,1065,1065,Indiana,Indiana,,,,None,,<No selection>,,,,F,Andy Niemeier,Andy Niemeier,andy.niemeier@azzippizza.com,andy.niemeier@azzippizza.com,,F,Andy Niemeier,Andy Niemeier,andy.niemeier@azzippizza.com,andy.niemeier@azzippizza.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,AA Financial Framework (FF),,AA Not Independent?,,,OS Client,,,,,,,
4,Bender Lacy.xlsm,,9104,9104.TAX,BARANCIK,BARANCIK,"BARMAC Properties, LLC",BARMAC PROPERTIES LLC,P.O. Box 1074,PO BOX 1074,Newburgh,NEWBURGH,Indiana,IN,47629,47629,12,12,,,1065,1065,Indiana,Indiana,,,,None,,<No selection>,,,,F,Stacey Barancik,Stacey Barancik,stacy.barancik@yahoo.com,stacy.barancik@yahoo.com,,F,Stacey Barancik,Stacey Barancik,stacy.barancik@yahoo.com,stacy.barancik@yahoo.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,AA Financial Framework (FF),,AA Not Independent?,,,OS Client,,,,,,,
5,Bender Lacy.xlsm,,7488,7488.TAX,BARANCIK,BARANCIK,"David E. Barancik, Inc. d/b/a Tristate Souvenir & Novelty",DAVID E BARANCIK INC D/B/A TRI-STATE SOUVENIR & NOVELTY,P.O. Box 1074,P.O. BOX 1074,Newburgh,NEWBURGH,Indiana,IN,47629,47629,12,12,,,1120S,1120S,Indiana and Texas,Indiana and Texas,,,,None,,,,,,,Stacey Barancik,Stacey Barancik,stacy.barancik@yahoo.com,stacy.barancik@yahoo.com,X,T,Mary Payne,Mary Payne,mpayne@hsccpa.com,mpayne@hsccpa.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,,,,,,OS Client,,,,,,,
6,Bender Lacy.xlsm,,7489,7489.TAX,BARANCIK,BARANCIK,"State Line Sales, Inc.",STATE LINE SALES INC,P.O. Box 1074,PO BOX 1074,Newburgh,NEWBURGH,Indiana,IN,47629,47629-1074,12,12,,,1120S,1120S,Indiana,Indiana,,,,None,,,,,,,Stacey Barancik,Stacey Barancik,stacy.barancik@yahoo.com,stacy.barancik@yahoo.com,X,T,Mary Payne,Mary Payne,mpayne@hsccpa.com,mpayne@hsccpa.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,ZipCode,,,,,,AA Eng Ltr Type,,,,,,OS Client,,,,,,,
7,Bender Lacy.xlsm,,112,,BIAGI,,"Biagi, Chance, Cummins, London, Titzer",,300 Northwest Second Street,,Evansville,,Indiana,,47708,,12,,,,1120,,"Indiana, Illinois, Kentucky, Louisiana, Missouri, New Jersey, New York, Pennsylvania, South Carolina, Tennessee, Philadelphia, Louisville, and Lexington",,,,Review,,GAAP,,,,,,Eric Nunning,,nunning@bcclt.com,,,,Shirrie Hays,,hays@bcclt.com,,,,,,Book,,,,"Bender, Lacy",,Client Group,Client Name,Address,City,State,ZipCode,Year End,Eng Ltr Fees if Inlcluded,Tax Eng Ltr Type,States/Localities,Changes in States/Localities,AA Eng Ltr Type,AA Financial Framework (FF),AA Departure from FF?,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,CAL Contact,CAL Contact Email,CAL Contact 2,CAL Contact Email 2,Depreciation Schedule Sent w/ CAL?,"Other Comments, Changes, etc.",Primary
8,Bender Lacy.xlsm,,9695,9695.TAX,CAMELOT JEWELERS,CAMELOT JEWELERS,"R.C. Williams, Ltd. d/b/a Camelot Jewelers",R C WILLIAMS LTD,2178 East Morgan Avenue,2178 E MORGAN AVE,Evansville,EVANSVILLE,Indiana,IN,47715,47711,12,12,,,1120,1120,Indiana,Indiana,,,,None,,,,,,F,Natalie Lewis,Natalie Lewis,info@shopcamelotjewelers.com,info@shopcamelotjewelers.com,X,T,Sarah Wittenbraker,Sarah Wittenbraker,swittenbraker@hsccpa.com,swittenbraker@hsccpa.com,,,,,,,,,"Bender, Lacy","Reffett, Cory",,Client Name,Address,,State,ZipCode,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,Primary
9,Bender Lacy.xlsm,,7237,7237.TAX,COOPER RAIL,COOPER RAIL,"Ryki Holdings, LLC",RYKI HOLDINGS LLC,P.O. Box 199,P.O. BOX 199,Huntingburg,HUNTINGBURG,Indiana,IN,47542,47542,12,12,,,1065,1065,Indiana,Indiana,,,,<No selection>,,<No selection>,,,,F,Jennifer Abel,Jennifer Abel,jennifer@coopercontracting.com,jennifer@coopercontracting.com,,F,Jennifer Abel,Jennifer Abel,jennifer@coopercontracting.com,jennifer@coopercontracting.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,AA Eng Ltr Type,AA Financial Framework (FF),,AA Not Independent?,,,OS Client,,,,,,,
10,Bender Lacy.xlsm,,7236,7236.TAX,COOPER RAIL,COOPER RAIL,"Cooper Rail Service, Inc.",COOPER RAIL SERVICE INC,P.O. Box 199,P.O. BOX 199,Huntingburg,HUNTINGBURG,Indiana,IN,47542,47542,12,12,,,1120S,1120S,"Indiana, Illinois, Kentucky, Missouri, and Tennessee","Indiana, Illinois, Kentucky, Missouri, and Tennessee",,,Review,Review,GAAP,GAAP,,,,,Jennifer Abel,Jennifer Abel,jennifer@coopercontracting.com,jennifer@coopercontracting.com,,,Jennifer Abel,Jennifer Abel,jennifer@coopercontracting.com,jennifer@coopercontracting.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,,,State,,,,,,,,,,,,,,,,,,,,
11,Bender Lacy.xlsm,,760,,CRESCENT CITY,,"Crescent City Security, Inc.",,P.O. Box 144,,Evansville,,Indiana,,47701,,12,,,,1120S,,"Indiana, Illinois, Kentucky, Missouri, and various Kentucky local returns",,,,,,,,,,,,David Dormeier,,ddormeier@interstateimaging.com,,,,David Dormeier,,ddormeier@interstateimaging.com,,,,,,,,,,"Bender, Lacy",,Client Group,Client Name,Address,City,State,ZipCode,Year End,Eng Ltr Fees if Inlcluded,Tax Eng Ltr Type,States/Localities,Changes in States/Localities,AA Eng Ltr Type,AA Financial Framework (FF),AA Departure from FF?,AA Not Independent?,Eng Ltr Contact,Eng Ltr Contact Email,OS Client,CAL Contact,CAL Contact Email,CAL Contact 2,CAL Contact Email 2,Depreciation Schedule Sent w/ CAL?,"Other Comments, Changes, etc.",Primary
12,Bender Lacy.xlsm,,6549,6549.TAX,DEXTEROUS MOLD,DEXTEROUS MOLD,"Dexterous Mold and Tool, Inc.",DEXTEROUS MOLD & TOOL INC,2535 Locust Creek Drive,2535 LOCUST CREEK DRIVE,Evansville,EVANSVILLE,Indiana,IN,47720,47720,12,12,,,1120,1120,Indiana,Indiana,,,,None,,,,,,F,Earlene Elpers,Earlene Elpers,eelpers@dexterousmold.com,eelpers@dexterousmold.com,X,T,Sarah Wittenbraker,Sarah Wittenbraker,swittenbraker@hsccpa.com,swittenbraker@hsccpa.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,Client Name,,,State,,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,,,
13,Bender Lacy.xlsm,,6085,6085.Tax,EBOR,EBOR,EBOR Service Corporation,E.B.O.R. SERVICE CORPORATION,2225 North Cullen Avenue,2225 N. CULLEN AVE,Evansville,EVANSVILLE,Indiana,IN,47715,47715-2112,12,12,,,1120,1120,Indiana,Indiana,,,,None,,,,,,F,Kim Seibert,Kim Seibert,kseibert@evansvillerealtors.com,kseibert@evansvillerealtors.com,,F,Kim Seibert,Kim Seibert,kseibert@evansvillerealtors.com,kseibert@evansvillerealtors.com,,,,,Tax,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,ZipCode,,,,,,AA Eng Ltr Type,,,AA Not Independent?,,,OS Client,,,,,Depreciation Schedule Sent w/ CAL?,,
14,Bender Lacy.xlsm,,6086,6086.Tax,EBOR,EBOR,Southwest Indiana Association of Realtors,SOUTHWEST INDIANA ASSOCIATION OF REALTORS,2225 North Cullen Avenue,2225 N CULLEN AVE,Evansville,EVANSVILLE,Indiana,IN,47715,47715,12,12,,,990 & 990-T,990 & 990-T,Indiana,Indiana,,,,None,,,,,,,Kim Seibert,Kim Seibert,kseibert@evansvillerealtors.com,kseibert@evansvillerealtors.com,,,Kim Seibert,Kim Seibert,kseibert@evansvillerealtors.com,kseibert@evansvillerealtors.com,,,,,,,,,"Bender, Lacy","Bender, Lacy",,,Address,,State,,,,,,,AA Eng Ltr Type,,,,,,,,,,,,,
